id	sexo	centro	estudios	hábitat	estupadr	estumadr	paga	numher	edad	califest	lect	cine	fútbol	conciert	vj	univ	gustcine	tipocine	violen	impdin	impest	ingr	físico	depor
1	1	1	1	2	3	2	10	4	13	7	18	37	7	0	10	9	3	9	9	3	1	2	3	3
2	1	1	3	2	3	2	8	4	16	6	21	26	8	3	19	2	1	4	1	3	1	2	3	5
3	2	1	3	2	2	2	6	3	15	7	12	48	5	12	24	2	2	1	1	2	2	2	5	3
4	1	1	2	1	1	1	7	2	17	5	6	20	2	6	41	1	3	3	2	3	4	2	4	2
5	2	1	1	2	3	4	11	3	14	5	12	50	3	5	21	1	2	1	1	2	4	2	4	3
6	2	2	2	2	4	2	12	2	18	6	21	35	0	24	10	1	2	2	1	2	4	4	5	1
7	1	1	3	2	2	2	14	1	16	8	18	30	4	0	15	1	3	3	2	4	4	9	3	3
8	1	2	2	1	1	1	16	2	16	8	18	40	7	6	17	1	1	3	2	2	4	2	5	4
9	2	1	2	2	3	2	10	3	15	7	13	60	2	13	25	1	3	9	1	2	4	3	3	3
10	1	1	2	2	3	2	15	3	16	6	7	5	7	4	45	2	2	1	1	4	3	3	4	4
11	1	2	2	1	2	3	8	3	15	6	14	20	4	2	19	1	3	2	2	4	4	2	4	5
12	2	1	3	1	1	3	6	4	18	8	16	30	0	24	20	2	2	2	1	2	1	3	5	1
13	2	2	2	1	1	2	10	5	16	9	9	70	1	7	44	1	2	1	1	2	5	3	5	1
14	2	1	2	1	1	2	9	3	15	7	5	10	0	5	46	1	2	1	1	2	4	2	5	1
15	2	1	3	1	2	2	12	4	16	8	5	55	0	13	50	2	2	1	1	2	3	2	3	1
16	1	1	2	1	1	2	8	2	16	7	15	45	3	19	20	1	3	2	1	2	4	2	2	5
17	2	2	2	1	2	1	12	2	16	4	19	30	0	12	17	1	2	1	1	2	3	4	4	2
18	1	1	1	2	4	3	10	2	14	7	16	43	7	6	22	1	3	2	1	2	4	6	3	4
19	2	1	3	2	4	4	15	1	17	6	18	52	3	26	20	2	3	1	1	5	2	2	4	2
20	1	1	3	1	2	2	10	5	18	7	8	48	4	3	50	2	1	4	2	9	2	3	3	5
21	1	2	2	2	3	3	15	2	15	8	10	26	6	0	30	9	3	3	2	1	3	4	3	5
22	2	2	2	1	3	1	20	2	17	6	2	12	0	1	45	1	2	2	2	9	4	2	4	1
23	1	1	3	2	2	2	25	3	18	7	9	26	9	5	56	2	2	3	2	2	3	2	1	5
24	1	2	2	1	2	2	18	2	16	3	11	24	2	6	30	1	3	3	1	9	4	2	3	4
25	2	1	1	2	3	4	99	2	15	6	23	36	5	7	25	1	2	1	1	3	4	4	4	4
26	2	1	2	1	2	2	99	1	17	7	21	26	1	3	16	1	2	2	1	5	4	2	5	2
27	2	1	1	2	3	3	99	2	12	6	24	10	3	20	17	1	2	2	1	5	4	4	3	2
28	2	1	2	2	2	4	99	1	16	5	9	10	2	10	56	1	2	1	1	5	3	2	4	4
29	1	1	2	1	1	2	99	6	17	8	6	12	0	5	58	1	2	1	1	2	4	2	5	1
30	1	1	3	2	4	4	99	1	18	5	10	6	8	11	25	2	3	3	2	5	2	4	3	5
31	2	1	2	1	2	2	99	3	16	7	20	8	8	3	18	1	2	1	1	5	4	3	4	4
32	2	1	3	1	3	2	99	1	15	5	21	12	1	3	18	2	2	1	1	5	2	3	5	2
33	1	1	2	2	4	3	30	7	18	7	2	14	8	2	47	1	3	3	2	5	4	5	3	5
34	2	2	2	2	4	3	25	2	17	6	22	18	7	0	16	1	2	3	2	2	4	3	4	4
35	1	1	1	2	4	2	22	2	12	5	5	12	8	8	50	9	9	2	1	3	3	5	1	5
36	2	1	3	1	2	3	23	3	15	6	10	24	3	15	20	1	2	1	1	3	4	3	3	1
37	1	1	1	2	4	4	25	2	13	5	13	6	5	12	17	1	2	3	2	2	3	2	1	3
38	2	2	1	1	2	2	30	1	14	7	17	12	3	24	26	2	2	2	1	5	3	2	3	3
39	1	1	3	2	3	2	25	4	20	6	19	24	7	15	20	2	1	4	1	4	2	3	4	5
40	1	1	1	2	3	3	10	3	13	7	24	36	8	3	17	1	2	3	2	2	4	2	1	5
41	1	1	1	2	4	4	10	4	13	7	18	37	7	0	22	9	2	3	1	5	3	2	1	5
42	1	1	3	2	3	4	8	4	16	6	21	26	8	3	19	2	3	3	2	5	1	3	2	5
43	2	1	3	2	3	2	6	3	15	7	12	48	3	12	35	2	1	1	1	1	2	3	3	4
44	1	1	2	1	1	2	7	2	17	5	6	20	2	6	49	1	3	3	2	4	3	2	4	3
45	2	1	1	2	3	4	11	3	14	5	12	50	3	5	21	1	1	2	1	2	3	4	4	2
46	2	1	3	2	4	2	12	2	18	6	21	35	3	24	18	2	2	1	1	2	2	5	5	3
47	1	1	2	2	2	2	14	1	16	8	18	30	0	0	20	1	3	3	2	4	4	2	3	4
48	1	2	2	1	2	2	16	2	16	8	18	40	7	6	17	1	3	4	1	4	4	2	2	5
49	2	1	2	2	4	4	10	3	15	7	13	60	2	13	29	1	3	1	1	2	4	6	4	2
50	1	1	2	2	3	2	15	3	16	6	7	5	8	4	43	1	2	2	1	4	4	3	3	5
51	1	2	2	1	2	2	8	3	15	6	14	20	4	2	31	1	1	2	1	4	4	1	2	5
52	2	1	3	1	2	2	6	4	18	8	16	30	0	24	20	2	2	1	1	2	3	2	5	1
53	2	2	2	1	1	2	10	5	16	9	9	70	2	7	46	2	2	1	1	2	5	2	5	2
54	2	1	2	1	2	2	9	3	15	7	5	10	2	5	53	1	2	1	1	1	4	2	4	2
55	2	1	3	1	2	2	12	4	16	8	5	55	0	13	60	1	2	1	1	1	4	2	4	1
56	1	1	2	1	2	9	8	2	16	7	15	45	4	19	30	1	2	1	1	1	4	2	3	5
57	2	2	2	1	2	9	12	2	16	4	19	30	3	12	17	1	2	1	1	2	2	2	4	2
58	1	1	1	2	4	3	10	2	14	7	16	43	5	6	22	1	2	3	2	3	4	5	2	5
59	2	1	3	2	3	3	15	1	17	6	18	52	3	26	18	2	2	3	1	3	2	2	4	3
60	1	1	3	1	2	2	10	5	18	7	8	48	4	3	39	2	3	3	2	3	3	4	3	4
61	1	2	2	2	3	2	15	2	15	8	10	26	6	0	26	1	2	3	2	5	4	3	1	5
62	2	2	2	1	1	2	20	2	17	6	2	12	3	1	42	1	2	1	1	5	4	2	4	3
63	1	1	3	2	4	2	25	3	18	7	9	26	3	5	35	2	1	4	1	2	3	6	2	4
64	1	2	2	1	2	2	18	2	16	3	11	24	4	6	21	2	3	2	1	5	1	2	2	5
65	2	1	3	2	3	4	30	2	15	6	23	36	3	7	18	1	3	1	1	4	3	3	4	2
66	2	1	2	1	2	2	30	1	17	7	21	26	2	3	16	1	2	1	1	3	4	2	5	3
67	2	1	1	2	3	2	20	2	12	6	24	10	1	20	17	9	2	2	1	5	3	3	3	2
68	2	1	2	2	2	4	22	1	16	5	9	10	0	10	39	1	2	1	1	5	3	3	4	1
69	1	1	2	1	1	1	30	6	17	8	6	12	7	5	47	1	2	3	2	5	4	1	3	5
